City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,6.91,overcast clouds
195,Sitka,US,57.0531,-135.33,44.49,76,100,4.61,light rain
196,Tulum,MX,20.2167,-87.4667,69.6,86,0,3.53,clear sky
197,Alexandria,EG,31.2156,29.9553,75.16,53,40,9.22,scattered clouds
198,Fortuna Foothills,US,32.6578,-114.4119,78.28,19,0,5.75,clear sky
199,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,99,14.03,light rain
200,Milkovo,RU,54.7167,158.6167,37.53,94,100,2.06,overcast clouds
201,Kiunga,PG,-6.1219,141.2906,74.16,98,97,1.41,overcast clouds
202,Mount Gambier,AU,-37.8333,140.7667,53.13,57,67,11.16,broken clouds
203,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,83,15.32,light rain
204,Port Lincoln,AU,-34.7333,135.8667,58.48,60,65,10.89,broken clouds
205,Pedasi,PA,7.5333,-80.0333,77.07,88,100,8.16,overcast clouds
206,Hokitika,NZ,-42.7167,170.9667,55.65,90,43,5.12,scattered clouds
207,Luderitz,NA,-26.6481,15.1594,82.09,28,0,8.28,clear sky
208,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,39.12,scattered clouds
209,Fortuna,US,40.5982,-124.1573,55.92,95,100,8.05,overcast clouds
210,Preobrazheniye,RU,42.9019,133.9064,47.25,84,30,3.06,scattered clouds
211,Shabo,UA,46.1326,30.386,65.55,60,57,6.31,broken clouds
212,Safonovo,RU,55.15,33.2167,51.46,61,56,14.58,light rain
213,Saint-Felicien,CA,48.6501,-72.4491,57.88,100,75,2.3,fog
214,Indi,IN,17.1667,75.9667,87.91,45,100,18.79,overcast clouds
215,Kralendijk,BQ,12.15,-68.2667,80.58,83,40,16.11,scattered clouds
216,Tashtagol,RU,52.7657,87.8894,64.51,65,78,3.24,broken clouds
217,Kollam,IN,8.8833,76.6,79.56,88,100,5.93,overcast clouds
218,Tasiilaq,GL,65.6145,-37.6368,33.96,99,100,5.61,snow
219,Ulladulla,AU,-35.35,150.4667,60.48,61,15,13.09,few clouds
220,Margate,GB,51.3813,1.3862,67.87,68,96,17.4,overcast clouds
221,Petatlan,MX,17.5167,-101.2667,76.24,47,64,2.89,broken clouds
222,Hirara,JP,24.8,125.2833,66.47,94,75,18.41,mist
223,Puerto Madryn,AR,-42.7692,-65.0385,46.42,76,19,3.36,few clouds
224,Alofi,NU,-19.0595,-169.9187,69.69,78,40,5.75,scattered clouds
225,Calca,PE,-13.3333,-71.95,51.15,77,100,1.21,overcast clouds
226,Vila,PT,42.0304,-8.1588,57.7,82,100,5.93,overcast clouds
227,Wiefelstede,DE,53.2574,8.1159,78.01,57,69,13.02,broken clouds
228,Arenapolis,BR,-14.4503,-56.8461,68.9,97,100,6.53,overcast clouds
229,Kailua,US,21.4022,-157.7394,75.18,78,40,5.75,scattered clouds
230,Diego De Almagro,CL,-26.3667,-70.05,57.36,28,15,0.89,few clouds
231,Ambon,ID,-3.6954,128.1814,75.34,94,40,4.61,scattered clouds
232,Keti Bandar,PK,24.1447,67.4497,90.14,46,0,21.03,clear sky
233,Jalu,LY,29.0331,21.5482,89.62,17,0,8.23,clear sky
234,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,93,100,14.97,overcast clouds
235,Bhag,PK,29.0415,67.8239,112.8,4,0,9.57,clear sky
236,Gravdal,NO,68.1214,13.5031,39.09,65,75,16.11,broken clouds
