City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Bonthe,SL,86.31,light rain,7.5264,-12.505,Bonthe Holiday Village
590,Hami,CN,82.76,overcast clouds,42.8,93.45,Laoyutang Resort
595,Kulhudhuffushi,MV,82.89,light rain,6.6221,73.07,Haajy Guest House 1
599,Marsh Harbour,BS,77.59,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
601,Fez,MA,80.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
602,Kamina,CD,81.75,clear sky,-8.7386,24.9906,Guest House Florvia
606,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
618,Amahai,ID,80.29,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
621,Kalmunai,LK,86.95,broken clouds,7.4167,81.8167,VS Villa
623,Inongo,CD,78.98,light rain,-1.95,18.2667,Hotel Du Lac
624,Tura,IN,76.24,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
626,Kupang,ID,78.22,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
632,Nouadhibou,MR,87.78,overcast clouds,20.931,-17.0347,El Medina
636,Pundaguitan,PH,82.94,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
637,Katastarion,GR,78.69,few clouds,37.8333,20.7667,Clio
638,Caucaia,BR,85.3,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
643,Redondo,PT,77.41,clear sky,38.6487,-7.5471,Monte Horta Maria Francisca
645,Humaita,BR,76.05,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
647,Yuxia,CN,75.81,clear sky,34.0615,108.6291,Shanchengxuan Hotel
653,Mumford,GH,84.09,broken clouds,5.2618,-0.759,Spanish Villa
655,Dawei,MM,78.75,overcast clouds,14.0833,98.2,Hotel Dawei
668,Ormara,PK,86.41,clear sky,25.2088,64.6357,Kenara Colony house for Rent
670,Faya,SA,86.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
671,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
684,Auki,SB,78.21,few clouds,-8.7676,160.7034,Auki Motel
689,Bahia De Caraquez,EC,75.38,light rain,-0.6,-80.4167,Saiananda Eco-Hotel
690,Upington,ZA,82.78,clear sky,-28.4478,21.2561,River Place Manor
692,Luganville,VU,77.76,broken clouds,-15.5333,167.1667,The Espiritu Hotel
693,San Carlos,VE,82.09,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
696,Ranong,TH,84.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
697,Kierspe,DE,77.99,overcast clouds,51.1333,7.5833,Ferienwohnung Haus am Wald
700,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
701,Juruti,BR,79.72,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
702,Saint-Medard-En-Jalles,FR,80.31,scattered clouds,44.8969,-0.7214,ibis Styles Bordeaux Saint-Médard
703,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
