City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Lac Du Bonnet,CA,2022-05-16 02:20:50,50.2536,-96.0612,42.22,75,100,8.34
180,Payo,ID,2022-05-16 02:20:50,-3.7508,103.6372,84.42,66,72,1.79
181,Paamiut,GL,2022-05-16 02:20:51,61.994,-49.6678,32.5,73,4,7.65
182,Kavieng,PG,2022-05-16 02:18:51,-2.5744,150.7967,83.64,66,100,1.43
183,Sept-Iles,CA,2022-05-16 02:18:54,50.2001,-66.3821,42.06,74,100,20.71
184,Boulder,US,2022-05-16 02:16:02,40.0833,-105.3505,65.61,42,40,6.91
185,Hofn,IS,2022-05-16 02:20:53,64.2539,-15.2082,47.71,89,95,4.63
186,Beringovskiy,RU,2022-05-16 02:20:54,63.05,179.3167,35.31,87,76,5.21
187,Amparafaravola,MG,2022-05-16 02:20:54,-17.5833,48.2167,55.45,97,40,4.32
188,Homer,US,2022-05-16 02:20:54,59.6425,-151.5483,50.77,63,100,9.22
189,Lagos,NG,2022-05-16 02:20:55,6.5833,3.75,80.92,95,76,3.36
190,Cherskiy,RU,2022-05-16 02:20:55,68.75,161.3,35.08,84,100,7.31
191,Ancud,CL,2022-05-16 02:20:56,-41.8697,-73.8203,46.49,78,100,9.86
192,Angoram,PG,2022-05-16 02:20:53,-4.0625,144.0661,81.84,76,98,2.1
193,Devils Lake,US,2022-05-16 02:20:56,48.1128,-98.8651,58.98,57,0,10.36
194,Honiara,SB,2022-05-16 02:20:57,-9.4333,159.95,85.51,68,22,4.74
195,Hualmay,PE,2022-05-16 02:19:53,-11.0964,-77.6139,63.41,84,10,8.72
196,Kodiak,US,2022-05-16 02:17:58,57.79,-152.4072,47.71,66,0,9.22
197,Niono,ML,2022-05-16 02:20:57,14.2526,-5.993,84.97,8,12,7.45
198,Williams Lake,CA,2022-05-16 02:20:58,52.1415,-122.1445,56.77,62,75,20.71
199,Northam,GB,2022-05-16 02:20:58,51.0333,-4.2167,57.61,94,97,10.4
200,Owando,CG,2022-05-16 02:20:59,-0.4819,15.8999,71.65,96,35,0.58
201,Upernavik,GL,2022-05-16 02:20:59,72.7868,-56.1549,8.1,92,34,6.62
202,Gorontalo,ID,2022-05-16 02:20:59,0.5412,123.0595,83.8,84,99,1.72
203,North Bend,US,2022-05-16 02:21:00,43.4065,-124.2243,64.24,91,100,11.5
204,Sillod,IN,2022-05-16 02:21:00,20.3,75.65,83.32,46,15,7.87
205,Sola,VU,2022-05-16 02:21:01,-13.8833,167.55,80.55,72,100,15.93
206,Isla Mujeres,MX,2022-05-16 02:21:01,21.2311,-86.731,77.16,66,0,9.66
207,Pervoavgustovskiy,RU,2022-05-16 02:21:02,52.2264,35.0552,39.6,94,4,10.18
208,Nome,US,2022-05-16 02:21:02,64.5011,-165.4064,46.47,57,0,4.61
209,Altay,CN,2022-05-16 02:21:03,47.8667,88.1167,59.29,58,100,1.5
210,Salalah,OM,2022-05-16 02:21:03,17.0151,54.0924,82.49,44,6,5.75
211,Trollhattan,SE,2022-05-16 02:21:03,58.2333,12.4167,46.17,93,100,0.0
212,Malinovoye Ozero,RU,2022-05-16 02:21:04,51.6753,79.7825,67.08,44,7,6.15
213,Oga,IT,2022-05-16 02:21:05,46.4631,10.347,54.28,90,91,1.88
214,Tucuma,BR,2022-05-16 02:21:05,-0.1833,-50.05,76.48,94,100,5.17
215,Velizh,RU,2022-05-16 02:19:19,55.6056,31.1967,37.36,89,10,7.09
216,Cidreira,BR,2022-05-16 02:21:06,-30.1811,-50.2056,59.02,79,97,14.27
217,Jumla,NP,2022-05-16 02:21:06,29.2747,82.1838,65.5,45,0,1.52
218,Chongwe,ZM,2022-05-16 02:21:06,-15.3292,28.682,56.05,67,0,8.68
219,Vardo,NO,2022-05-16 02:21:07,70.3705,31.1107,37.38,75,100,12.66
220,Rocha,UY,2022-05-16 02:18:27,-34.4833,-54.3333,48.47,59,38,11.05
221,Avezzano,IT,2022-05-16 02:21:07,42.0402,13.4388,57.11,83,98,1.99
222,Nosy Varika,MG,2022-05-16 02:21:08,-20.5833,48.5333,66.07,86,8,7.52
223,Matara,LK,2022-05-16 02:20:24,5.9485,80.5353,80.35,87,88,13.31
224,Back Mountain,US,2022-05-16 02:16:58,41.3359,-75.9963,66.34,92,96,2.35
225,Airai,TL,2022-05-16 02:21:09,-8.9266,125.4092,73.69,55,1,2.33
226,Ambovombe,MG,2022-05-16 02:21:09,-25.1667,46.0833,67.59,83,1,12.03
227,Kununurra,AU,2022-05-16 02:21:09,-15.7667,128.7333,91.38,46,0,4.61
228,Tromso,NO,2022-05-16 02:21:10,69.6496,18.957,35.62,80,75,4.61
229,Vila Velha,BR,2022-05-16 02:19:55,-20.3297,-40.2925,73.35,78,20,6.91
230,Suntar,RU,2022-05-16 02:21:11,62.1444,117.6319,45.14,55,14,8.1
231,Chabua,IN,2022-05-16 02:21:11,27.4825,95.1736,73.35,100,100,6.91
232,Revelstoke,CA,2022-05-16 02:21:12,50.9832,-118.2023,50.02,87,100,4.61
233,Lata,PT,2022-05-16 02:21:12,40.1629,-8.3327,58.91,93,100,4.38
234,Gravdal,NO,2022-05-16 02:21:13,68.1214,13.5031,38.66,67,93,17.78
235,Port Elizabeth,ZA,2022-05-16 02:21:13,-33.918,25.5701,56.32,97,0,3.0
236,Ivolginsk,RU,2022-05-16 02:21:13,51.7492,107.2837,60.46,27,100,2.24
237,San Carlos De Bariloche,AR,2022-05-16 02:19:25,-41.1456,-71.3082,41.25,69,0,8.05
238,Poso,ID,2022-05-16 02:21:14,-1.3959,120.7524,85.93,67,61,2.33
239,Taunsa,PK,2022-05-16 02:21:15,30.7048,70.6505,95.13,10,0,6.96
240,Iqaluit,CA,2022-05-16 02:21:15,63.7506,-68.5145,22.73,79,100,6.91
241,Coihaique,CL,2022-05-16 02:21:09,-45.5752,-72.0662,34.41,93,0,2.3
242,Mitla,MX,2022-05-16 02:21:15,16.9167,-96.4,65.34,53,12,5.64
243,Zvishavane,ZW,2022-05-16 02:21:16,-20.3267,30.0665,55.36,97,18,7.29
244,Camalu,MX,2022-05-16 02:21:16,30.85,-116.0667,65.86,69,7,8.52
245,Isangel,VU,2022-05-16 02:21:17,-19.55,169.2667,79.23,71,37,15.35
246,Vestmannaeyjar,IS,2022-05-16 02:21:17,63.4427,-20.2734,48.63,92,100,19.13
247,Soyo,AO,2022-05-16 02:21:18,-6.1349,12.3689,76.86,90,75,7.23
248,San Cristobal,VE,2022-05-16 02:16:19,7.7669,-72.225,69.98,95,96,2.48
249,Cervo,ES,2022-05-16 02:21:18,43.6702,-7.4101,64.96,68,100,8.52
250,Sistranda,NO,2022-05-16 02:21:18,63.7256,8.834,40.96,58,100,9.78
251,Moron,AR,2022-05-16 02:21:19,-34.6534,-58.6198,55.15,66,85,11.1
252,Montepuez,MZ,2022-05-16 02:21:19,-13.1256,38.9997,61.03,95,7,4.94
253,Limburg,NL,2022-05-16 02:21:20,51.25,6.0,64.29,60,100,1.01
254,Rawson,AR,2022-05-16 02:21:20,-43.3002,-65.1023,48.92,75,20,9.69
255,Banyo,CM,2022-05-16 02:21:21,6.75,11.8167,64.72,92,100,2.82
256,Cumberland,US,2022-05-16 02:21:21,35.0502,-78.8664,78.49,69,0,6.91
257,Portland,US,2022-05-16 02:17:00,45.5234,-122.6762,67.01,63,40,12.66
258,Phan Thiet,VN,2022-05-16 02:19:35,10.9333,108.1,85.62,74,100,4.94
259,Santa Fe,AR,2022-05-16 02:21:22,-31.6333,-60.7,51.98,67,0,3.0
260,Asau,RO,2022-05-16 02:21:22,46.4333,26.4,52.72,98,77,1.74
261,Powell River,CA,2022-05-16 02:17:34,49.8496,-124.5361,55.04,87,100,13.8
262,Balkhash,KZ,2022-05-16 02:21:23,46.844,74.9804,63.21,45,0,11.18
263,Lorengau,PG,2022-05-16 02:21:23,-2.0226,147.2712,84.9,62,71,5.53
264,Mar Del Plata,AR,2022-05-16 02:21:23,-38.0023,-57.5575,52.95,84,40,14.97
265,Killybegs,IE,2022-05-16 02:21:24,54.6333,-8.45,55.89,93,100,12.64
266,Carlisle,US,2022-05-16 02:20:02,40.2015,-77.1889,68.0,86,11,3.42
267,Mujiayingzi,CN,2022-05-16 02:21:25,42.1167,118.7833,64.0,21,15,12.24
268,Palmer,US,2022-05-16 02:21:25,42.1584,-72.3287,68.63,85,100,0.0
269,Jalu,LY,2022-05-16 02:21:26,29.0331,21.5482,70.16,35,0,9.13
270,Marsh Harbour,BS,2022-05-16 02:21:26,26.5412,-77.0636,77.99,83,79,11.34
